"study_id","clinical_property"
"TCGA_ACC","age#sex#race#stage"
"TCGA_BLCA","age#sex#race#stage#grade"
"TCGA_BRCA","age#sex#race#stage#margin_status"
"TCGA_CESC","age#sex#race#grade"
"TCGA_CHOL","age#sex#race#stage#grade"
"TCGA_COAD","age#sex#race#stage"
"TCGA_DLBC","age#sex#race"
"TCGA_ESCA","age#sex#race#stage#grade"
"TCGA_GBM","age#sex#race"
"TCGA_HNSC","age#sex#race#stage#grade"
"TCGA_KICH","age#sex#race#stage"
"TCGA_KIRC","age#sex#race#stage#grade"
"TCGA_KIRP","age#sex#race#stage"
"TCGA_LGG","age#sex#race#grade"
"TCGA_LIHC","age#sex#race#stage#grade"
"TCGA_LUAD","age#sex#race#stage"
"TCGA_LUSC","age#sex#race#stage"
"TCGA_MESO","age#sex#race#stage"
"TCGA_OV","age#sex#race#grade"
"TCGA_PAAD","age#sex#race#stage#grade"
"TCGA_PCPG","age#sex#race"
"TCGA_PRAD","age#sex#race"
"TCGA_READ","age#sex#race#stage"
"TCGA_SARC","age#sex#race#margin_status"
"TCGA_SKCM","age#sex#race#stage"
"TCGA_STAD","age#sex#race#stage#grade"
"TCGA_TGCT","age#sex#race#stage"
"TCGA_THCA","age#sex#race#stage"
"TCGA_THYM","age#sex#race"
"TCGA_UCEC","age#sex#race#grade"
"TCGA_UCS","age#sex#race"
"TCGA_UVM","age#sex#race#stage"
